"Country","Code","Year","Экономический рост","Инфляция","Уровень безработицы","Экспорт, в процентах от ВВП","Численность населения","Процент городского населения","общий показатель экономической производительности, учитывающий рост и инфляцию.","общий показатель экономической производительности, учитывающий рост и инфляцию"
"Australia","AU","1995","3.83","4.6","8.47","17.92","18.07","84.9","16.94","16.94"
"Australia","AU","1996","3.88","2.6","8.51","18.94","18.31","84.77","17.02","17.02"
"Australia","AU","1997","3.97","0.3","8.36","19.17","18.52","84.64","16.72","16.72"
"Australia","AU","1998","4.58","0.9","7.68","19.6","18.71","84.5","15.36","15.36"
"Australia","AU","1999","5.02","1.5","6.87","18.35","18.93","84.37","13.74","13.74"
"Australia","AU","2000","3.94","4.5","6.28","19.44","19.15","84.24","12.56","12.56"
"Australia","AU","2001","1.93","4.4","6.74","22.24","19.41","84.1","13.48","13.48"
"Australia","AU","2002","4","3","6.37","20.78","19.65","84.22","12.74","12.74"
"Australia","AU","2003","2.99","2.8","5.93","19.1","19.9","84.34","11.86","11.86"
"Australia","AU","2004","4","2.3","5.39","17.22","20.13","84.46","10.78","10.78"
"Australia","AU","2005","3.19","2.7","5.03","18.29","20.39","84.58","10.06","10.06"
"Australia","AU","2006","2.83","3.5","4.78","19.91","20.7","84.7","9.56","9.56"
"Australia","AU","2007","3.78","2.3","4.38","20.23","20.83","84.82","8.76","8.76"
"Australia","AU","2008","3.66","4.4","4.23","20.19","21.25","84.94","8.46","8.46"
"Australia","AU","2009","1.92","1.8","5.56","23.04","21.69","85.06","11.12","11.12"
"Australia","AU","2010","2.05","2.8","5.21","19.84","22.03","85.18","10.42","10.42"
"Australia","AU","2011","2.45","3.3","5.08","21.47","22.34","85.3","10.16","10.16"
"Australia","AU","2012","3.89","1.8","5.22","21.52","22.74","85.4","10.44","10.44"
"Australia","AU","2013","2.64","2.4","5.66","19.99","23.15","85.5","11.32","11.32"
"Australia","AU","2014","2.56","2.5","6.07","21.08","23.5","85.6","12.14","12.14"
"Australia","AU","2015","2.35","1.5","6.06","20.01","23.85","85.7","12.12","12.12"
"Australia","AU","2016","2.83","1.3","5.72","19.25","24.21","85.8","11.44","11.44"
